image,prompt
Least_Flycatcher_0033_30449,there is a small bird sitting on a branch of a tree
Northern_Waterthrush_0043_177070,there is a bird that is standing in the grass
Carolina_Wren_0047_186928,there is a bird that is sitting on a bird feeder
Caspian_Tern_0070_147545,araffe bird standing on the beach with a wet beach in the background
Common_Tern_0094_148309,arafed bird with wings spread out on a rock by the water
Cedar_Waxwing_0049_178723,there is a bird that is sitting on a wooden post
Cedar_Waxwing_0125_178921,there is a bird sitting on a branch of a tree
Cliff_Swallow_0093_133052,there is a bird that is sitting on a pipe
Field_Sparrow_0027_113353,there is a small bird sitting on a branch of a tree
Carolina_Wren_0083_186324,there is a small bird perched on a branch of a tree
Gray_Catbird_0043_21008,there is a small bird sitting on a branch in the woods
Pileated_Woodpecker_0073_180345,there is a bird that is standing on a tree branch
Bohemian_Waxwing_0038_796632,there is a bird that is sitting on a branch of a tree
Carolina_Wren_0062_186390,there is a small bird that is perched on a wire
Tree_Swallow_0110_136921,there is a small bird sitting on top of a wooden post
Bohemian_Waxwing_0037_796638,araffe bird perched on a branch with berries in its beak
Black_Tern_0059_144159,there is a black and white bird standing on a ledge
Field_Sparrow_0126_113426,there is a bird sitting on a barbed wire fence
Hooded_Warbler_0095_164709,yellow bird with black and yellow feathers sitting on a branch
Yellow_Warbler_0101_176864,yellow bird with black beak standing on a branch in the dirt
Ovenbird_0058_93078,there is a small bird perched on a branch in the tree
Black_Tern_0094_144466,there is a black bird standing on top of a pole
Black_Tern_0019_144680,there is a bird that is flying in the air with a worm in its mouth
Northern_Waterthrush_0050_177331,there is a bird that is standing on a log in the water
Field_Sparrow_0104_113524,there is a small bird sitting on a branch of a tree
Downy_Woodpecker_0001_184484,there is a bird that is sitting on a branch in the tree
Common_Tern_0071_148796,there is a bird that is flying over the water
Yellow_Warbler_0046_176212,yellow bird perched on a branch of a tree in a forest
Carolina_Wren_0013_187086,there is a small bird sitting on a metal pole
Pileated_Woodpecker_0008_180400,there is a bird that is sitting on a tree branch
Tree_Swallow_0100_137493,there is a small bird sitting on a branch with buds
Yellow_Warbler_0067_176856,yellow bird perched on a branch of a tree in the sun
Savannah_Sparrow_0025_119124,there is a bird that is sitting on a tree branch
Horned_Lark_0012_74511,there is a small bird standing on the ground in the snow
Song_Sparrow_0089_120894,there is a bird that is flying around on a branch
Tree_Swallow_0049_134740,there is a bird that is flying in the air with a hand
Prothonotary_Warbler_0076_174118,yellow bird perched on a branch with a blurry background
Pelagic_Cormorant_0098_23783,there are two birds sitting on a pile of rocks
Tree_Swallow_0107_136223,there is a small bird sitting on a branch of a tree
Savannah_Sparrow_0033_118871,there is a bird that is standing in the water
Prothonotary_Warbler_0081_173510,yellow bird perched on a branch with a blurry background
American_Pipit_0048_100140,there is a bird that is sitting on a post in the grass
Tennessee_Warbler_0080_167714,there is a bird sitting on a branch of a tree with berries
Pelagic_Cormorant_0025_23776,there is a bird that is standing on a post in the water
Winter_Wren_0095_189985,there is a small bird sitting on a branch of a tree
Cliff_Swallow_0041_134111,there is a bird that is flying in the air
Cedar_Waxwing_0101_179707,araffe bird perched on a branch with a blue sky in the background
Caspian_Tern_0041_144964,there is a bird that is flying in the air with a fish in it's beak
Cedar_Waxwing_0124_178857,araffe bird perched on a branch with a blurry background
Tennessee_Warbler_0061_174775,there is a small bird sitting on a branch of a tree
Bronzed_Cowbird_0060_24082,there is a black bird sitting on a branch of a tree
Savannah_Sparrow_0091_120630,there is a bird that is standing on a rock
American_Crow_0025_25522,there is a black bird sitting on top of a tree
Caspian_Tern_0123_145774,there is a bird that is flying in the sky with its wings spread
Savannah_Sparrow_0035_120099,there is a bird standing on the rocks in the water
Horned_Lark_0043_74450,there is a small bird standing in the snow on the ground
Prairie_Warbler_0104_172615,yellow and black bird perched on a branch in a tree
Cedar_Waxwing_0095_178163,araffe bird with a mohawk sitting on a branch in a tree
American_Crow_0111_25127,there is a black bird standing in the grass looking at something
American_Pipit_0058_100218,there is a bird that is standing in the water
Horned_Lark_0126_74354,there is a small bird standing on the grass in the field
Bank_Swallow_0048_129546,there is a bird that is sitting on the side of a hill
Blue_Jay_0020_63604,there is a blue bird sitting on a branch of a tree
Pileated_Woodpecker_0011_180519,there is a bird that is standing on a tree
Horned_Lark_0072_74067,there is a small bird standing in the grass on the ground
Cliff_Swallow_0005_133696,there is a bird that is sitting on a wire
Tree_Swallow_0032_136216,there is a bird that is sitting on a branch in the tree
Yellow_Warbler_0088_176336,painting of a yellow bird perched on a stack of books
Prothonotary_Warbler_0102_174595,yellow and gray bird perched on a branch in a bush
Song_Sparrow_0044_121931,there is a bird that is sitting on a wooden post
Pileated_Woodpecker_0114_180455,there is a bird that is sitting on a tree branch
Field_Sparrow_0100_113503,there is a bird that is sitting on a branch in the tree
Carolina_Wren_0001_186455,there is a bird that is sitting on a bird feeder
Carolina_Wren_0080_186919,there is a small bird standing on a snowy surface
Bank_Swallow_0031_129507,there are two birds that are sitting on a birdhouse
Field_Sparrow_0090_113613,there is a small bird sitting on a branch in the tree
Cliff_Swallow_0027_133203,there is a bird that is standing on the ground next to a wall
Song_Sparrow_0114_121233,there is a bird sitting on a flower bush with pink flowers
Gray_Catbird_0028_20598,there is a small bird standing on the ground next to a rock
Bronzed_Cowbird_0027_24022,there is a black bird with red eyes standing on a rock
Downy_Woodpecker_0113_184413,there is a bird that is standing on a bird feeder
Tree_Swallow_0114_136265,there is a small bird sitting on a branch of a tree
Tree_Swallow_0111_135253,there is a bird that is sitting on a tree branch
Ovenbird_0045_92973,there is a bird that is sitting on a branch in the tree
Field_Sparrow_0059_113759,there is a small bird perched on a branch of a tree
American_Crow_0105_25283,there is a black bird sitting on top of a toilet in the grass
Bronzed_Cowbird_0078_796262,there is a black bird with a red eye standing on the ground
Caspian_Tern_0034_147643,there is a bird that is standing on the sand by the water
Northern_Waterthrush_0082_177243,there is a bird that is standing on a log in the water
Hooded_Warbler_0078_165123,there is a small yellow bird perched on a branch of a tree
Caspian_Tern_0016_145314,there is a bird that is flying over the water
Pelagic_Cormorant_0011_23667,there is a bird that is flying over the water
Downy_Woodpecker_0038_184418,there is a bird that is sitting on a tree branch
Pileated_Woodpecker_0091_180343,there is a bird that is sitting on a tree branch
Yellow_Warbler_0097_176538,there is a yellow bird standing on the sand of the beach
Gray_Catbird_0090_21464,there is a bird that is sitting on a stone statue
Least_Flycatcher_0047_30393,there is a small bird perched on a branch of a tree
Carolina_Wren_0055_186154,there is a small bird sitting on a tree stump
Pelagic_Cormorant_0024_23712,there is a duck that is swimming in the water
Caspian_Tern_0075_147650,there is a bird that is standing on the street
Winter_Wren_0083_190025,there is a small bird sitting on a branch of a tree
Song_Sparrow_0009_121025,there is a small bird sitting on a branch of a tree
Hooded_Warbler_0117_165106,there is a bird sitting on a branch of a tree
Prothonotary_Warbler_0096_174372,there is a yellow bird perched on a branch in the woods
Horned_Lark_0091_74087,there is a small bird that is sitting on a rock
Bronzed_Cowbird_0018_24140,there is a black bird standing in the grass on the ground
Hooded_Warbler_0125_164925,there is a yellow bird sitting on a branch of a tree
Song_Sparrow_0106_121154,there is a bird that is sitting on a branch with its mouth open
Black_Tern_0055_144607,there is a bird that is flying over some water
Black_Tern_0010_144341,there is a bird that is flying in the sky with its wings spread
Cedar_Waxwing_0060_178190,araffe bird perched on a branch with leaves and flowers
Yellow_Warbler_0094_176365,there is a yellow bird sitting on a branch with its mouth open
Cedar_Waxwing_0075_179114,araffe bird perched on a tree branch in the middle of the day
Ovenbird_0022_92702,there is a small bird sitting on a branch in the woods
Pileated_Woodpecker_0089_179969,araffe with a red mohawk on its head standing on a tree
Cedar_Waxwing_0030_178202,there is a bird sitting on a branch of a tree with berries
Prairie_Warbler_0073_172771,yellow bird perched on a branch with a blurry background
Blue_Jay_0044_62759,there is a blue and white bird standing on a wooden post
Tree_Swallow_0082_135006,arafed bird sitting on a barbed wire with a green background
Tree_Swallow_0102_135061,there is a bird that is sitting on top of a pole
Bank_Swallow_0063_129774,araffe sitting on a wire with its head up and its beak open
Carolina_Wren_0038_186436,there is a small brown bird standing on a wooden post
Gray_Catbird_0022_19585,there is a small bird sitting on a branch of a tree
Carolina_Wren_0072_186309,there is a small bird sitting on a branch with a green background
American_Crow_0124_25356,there is a black bird standing in the grass near some reed
Pelagic_Cormorant_0093_23722,there is a black bird swimming in the water with a yellow beak
Northern_Waterthrush_0015_177075,there is a bird that is standing on the ground eating
Tree_Swallow_0017_135062,there is a small bird sitting on a red fence post
Cedar_Waxwing_0016_178629,araffe bird perched on a branch of a tree with berries
Cedar_Waxwing_0006_179394,araffe bird with a yellow and black beak sitting on a branch
Ovenbird_0046_92821,there is a small bird perched on a branch in a tree
Winter_Wren_0127_190091,there is a small bird that is standing on a post
Bronzed_Cowbird_0025_796213,there is a black bird sitting on a branch of a tree
Common_Tern_0088_147941,there is a bird that is standing on the concrete
Bank_Swallow_0059_129896,there is a small bird sitting on a wire with a blurry background
Hooded_Warbler_0070_164930,there is a yellow bird sitting on a branch in the woods
Black_Tern_0041_144103,there is a bird that is standing on a post
Gray_Catbird_0126_19446,there is a small bird standing on a wall next to a tree
Bohemian_Waxwing_0084_796639,there is a bird sitting on a branch of a tree covered in snow
Bronzed_Cowbird_0022_796221,there is a black bird with blue feathers sitting on a branch
Song_Sparrow_0092_121969,there is a small bird sitting on top of a wooden post
Blue_Jay_0022_63074,there is a blue and white bird sitting on a branch
Prairie_Warbler_0136_172768,yellow bird perched on a branch with a black background
Blue_Jay_0031_62913,araffe blue jay sitting on a fence in the snow
Bank_Swallow_0002_129654,arafed bird flying in the sky with its wings spread
Cedar_Waxwing_0061_179305,there is a bird that is sitting on a branch in the woods
Field_Sparrow_0066_114109,there is a bird that is sitting on a bird feeder
Cliff_Swallow_0031_133164,there is a bird that is sitting on the side of a building
Caspian_Tern_0069_145931,araffe bird standing on the beach with its reflection in the water
Cedar_Waxwing_0013_178830,araffe bird perched on a green leafy plant with a blurry background
Winter_Wren_0013_189500,there is a small bird standing on a ledge next to a flower
Field_Sparrow_0092_113580,there is a bird that is standing on a wooden table
Bronzed_Cowbird_0064_24199,there is a bird that is standing on the ground
Prothonotary_Warbler_0108_174125,there is a yellow bird sitting on a wooden bench
Northern_Waterthrush_0033_177214,there is a small bird sitting on a branch in the woods
Pileated_Woodpecker_0077_180286,araffe sitting on a branch in a forest with a red hat
Pelagic_Cormorant_0073_23785,araffe sitting on a rock by the water
Tennessee_Warbler_0026_175118,there is a bird sitting on a branch of a tree
Bohemian_Waxwing_0119_177942,araffy bird with a red head and black beak sitting on a branch
Northern_Waterthrush_0077_177152,there is a bird standing in the water and looking for food
Savannah_Sparrow_0132_119962,there is a bird sitting on a barbed wire with a green background
Bronzed_Cowbird_0087_796223,there is a black bird standing on the ground in the grass
Bohemian_Waxwing_0056_796645,araffe bird perched on a persons hand in a grassy field
Bronzed_Cowbird_0062_796238,there is a bird that is sitting on a branch of a tree
Pileated_Woodpecker_0053_179960,there is a bird that is standing on a tree branch
Downy_Woodpecker_0039_184243,there is a bird that is hanging upside down from a tree
Caspian_Tern_0051_145930,there is a bird that is flying in the sky with a beak
Song_Sparrow_0086_121999,there is a bird standing on the ground in the grass
Carolina_Wren_0058_186409,there is a small brown bird standing on a rock
American_Crow_0001_25053,there is a black bird sitting on a barbed wire post
Carolina_Wren_0090_186942,there is a small bird standing on a ledge with its wings spread
Common_Tern_0049_149159,there is a bird that is flying over some grass
Tennessee_Warbler_0031_174802,there is a bird that is sitting on a branch in the tree
Field_Sparrow_0110_113995,there is a bird sitting on a branch of a tree
Tennessee_Warbler_0091_175050,there is a small bird perched on a branch of a tree
Pileated_Woodpecker_0087_179959,araffe bird with red head and black beak perched on a tree branch
Ovenbird_0027_93086,there is a small bird standing on the ground in the sand
Common_Tern_0030_147825,there is a bird that is flying over the water
Hooded_Warbler_0028_164883,yellow bird perched on a tree branch with a green background
Cliff_Swallow_0039_133645,there is a bird that is sitting on a ledge
Yellow_Warbler_0049_176526,yellow bird sitting on a branch with a blue sky in the background
Horned_Lark_0065_74279,there is a small bird standing on a gravel ground
Tree_Swallow_0074_135219,there is a small bird sitting on a pipe on a clear day
Pileated_Woodpecker_0015_180072,there is a bird that is sitting on a tree branch
Bohemian_Waxwing_0042_177887,araffe bird perched on a branch with berries in the background
Tennessee_Warbler_0050_174851,there is a small bird sitting on a branch in the tree
Savannah_Sparrow_0135_119620,there is a bird that is sitting on a metal rail
Blue_Jay_0078_62351,there is a blue and white bird standing on the ground
Least_Flycatcher_0046_30316,there is a small bird sitting on a branch in the bush
Bronzed_Cowbird_0090_24179,there is a black bird sitting on a branch in the woods
Blue_Jay_0086_63394,there is a blue bird sitting on a branch of a tree
American_Crow_0107_25353,there is a black bird standing in the snow on the ground
Prairie_Warbler_0031_172818,yellow and black bird perched on a branch of a tree
Winter_Wren_0062_189501,there is a small bird perched on a branch of a tree
Tree_Swallow_0091_136870,there is a bird that is sitting on a tree stump
Ovenbird_0084_92901,there is a bird that is standing in the grass
Bohemian_Waxwing_0029_177915,araffe bird perched on a small branch with a colorful feather
Northern_Waterthrush_0021_177187,there is a bird standing on a branch in the water
Bronzed_Cowbird_0032_796233,there is a bird that is standing on a ledge
Ovenbird_0010_92957,there is a bird that is sitting on a branch in the tree
Tennessee_Warbler_0084_174891,there is a small bird perched on a branch in a tree
Savannah_Sparrow_0032_120109,there is a bird sitting on a branch in the fall
Field_Sparrow_0080_113811,there is a small bird perched on a persons hand
Savannah_Sparrow_0047_119365,there is a bird that is sitting on a branch in the tree
Bohemian_Waxwing_0062_796683,araffy bird perched on a branch with berries in the background
Caspian_Tern_0054_145890,araffe bird flying in the sky with a red beak
Least_Flycatcher_0010_30149,there is a bird that is sitting on a branch in the forest
Pileated_Woodpecker_0033_180179,araffe sitting on a tree branch with moss on it
Ovenbird_0020_93049,there is a small bird that is sitting on a branch
Least_Flycatcher_0062_30131,there is a small bird sitting on a branch of a tree
Winter_Wren_0019_189533,there is a small bird that is standing on a mossy branch
Bronzed_Cowbird_0010_24146,there is a black bird sitting on a branch of a tree
Cedar_Waxwing_0094_178049,araffe bird perched on a branch with a green background
Song_Sparrow_0102_122090,there is a bird sitting on a branch of a tree
Bank_Swallow_0007_129514,there is a small bird sitting on a metal rail
Bohemian_Waxwing_0079_796687,araffy bird with a mohawk on a branch in a tree
American_Pipit_0062_100000,there is a bird standing on the ground with rocks in the background
Field_Sparrow_0029_113434,there is a bird sitting on a branch of a tree
Cliff_Swallow_0022_133786,there is a bird sitting on a barbed wire with snow falling
Least_Flycatcher_0077_30296,there is a small bird sitting on a branch in the forest
Ovenbird_0104_92763,there is a small brown bird standing on a stone path
Caspian_Tern_0114_145612,there is a bird with a red beak standing on the sand
Downy_Woodpecker_0040_184061,there is a bird that is sitting on a bird feeder
Black_Tern_0061_143959,there is a bird that is standing on a wooden post
Blue_Jay_0056_61723,there is a blue and white bird sitting on a tree branch
Common_Tern_0019_149769,there is a bird that is standing on the sand by the water
Savannah_Sparrow_0021_118886,there is a bird that is sitting on a post
Carolina_Wren_0068_186830,there is a small bird sitting on a branch of a tree
Hooded_Warbler_0118_164991,there is a yellow bird perched on a branch of a tree
Field_Sparrow_0124_113868,there is a small bird sitting on a branch in the woods
Prairie_Warbler_0051_172585,there is a yellow bird sitting on a branch of a tree
Cedar_Waxwing_0051_178385,araffy bird with a mohawk sitting on a branch
Black_Tern_0006_144646,arafed bird standing on a concrete ledge with a blue sky in the background
American_Crow_0051_25505,there is a black bird sitting on a branch in front of a flag
Savannah_Sparrow_0023_120326,there is a bird that is sitting on a rock in the grass
Savannah_Sparrow_0014_120072,there is a bird that is sitting on a plant with a green background
Tree_Swallow_0061_134712,there is a small bird sitting on a mossy branch
Winter_Wren_0007_190052,there is a small brown bird perched on a branch in the woods
Black_Tern_0077_144117,there is a bird that is flying in the sky with its wings spread
Horned_Lark_0088_74590,araffe standing on a snow covered hill with a gray sky in the background
Prothonotary_Warbler_0073_174607,there is a yellow bird sitting on a branch in a tree
Pileated_Woodpecker_0057_180612,there is a bird that is sitting on a pole with a light
Least_Flycatcher_0011_30222,there is a bird that is sitting on a branch in the tree
Common_Tern_0004_148977,arafed bird standing on the sand with its beak open
Prothonotary_Warbler_0070_174650,there is a yellow bird perched on a branch in the tree
Pelagic_Cormorant_0012_23565,there is a bird that is sitting on a rock by the water
American_Pipit_0066_99961,there is a small bird standing on the ground in the grass
Pileated_Woodpecker_0078_180236,there is a bird that is standing on a tree with a bird feeder
Carolina_Wren_0049_186129,there is a small bird sitting on a branch with its mouth open
Caspian_Tern_0068_146615,there is a white bird with a black beak flying in the sky
Northern_Waterthrush_0110_177074,there is a bird that is standing on a branch in the water
American_Crow_0136_25117,there is a black bird that is standing on a bird bath
Gray_Catbird_0032_21551,there is a bird that is standing on a ledge
Savannah_Sparrow_0001_118956,there is a bird sitting on a branch of a tree
Prothonotary_Warbler_0127_174149,there is a yellow bird with a black beak sitting on a rock
Ovenbird_0012_92778,there is a bird that is sitting on a branch in the tree
